time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,4.91297395427e-07,6.27661435279e-07,10.0023322417,0.000364808154085,6.28289975569,0.0,3.51078079895e-05,4.4852290737e-05,0.0776352695883,0.0122088891184,-0.0095564662472,0.0,430.19580354494315,429.39325742176914,429.33375175660177,430.3589286538608
0.12000000000000001,9.94266047687e-06,1.39637711452e-05,10.0086864993,0.00167330405735,6.2824682067,0.0,0.000325685272247,0.000506225112734,0.134093400564,0.031482971874,-0.00480994879029,0.0,423.0843599140626,423.51169845063026,422.193384185524,423.81067695136414
0.18,4.8296260194e-05,9.55445323294e-05,10.023607246,0.00431201793573,6.28222239398,0.0,0.000983960128054,0.00250126626886,0.362877228982,0.0565820184563,-0.00337789069259,0.0,477.1364660940111,477.25613675987114,475.2129953829253,477.0428074614208
0.23999999999999996,0.000126207437014,0.000338679387334,10.0465438753,0.0077480154292,6.28199311144,0.0,0.00163349248091,0.00592093129766,0.401610711163,0.0579571028111,-0.00426846295349,0.0,418.1447392273563,418.07575911848267,418.4192821939706,418.4062232530707
0.3,0.000249044904333,0.000867351935616,10.0736602061,0.0111652810067,6.28218948604,0.0,0.00245631618212,0.0120507902367,0.502084154732,0.0559455649061,0.0108772755418,0.0,438.6276615405704,439.8852618500541,437.9382403877135,437.63620405756336
0.36000000000000004,0.000411545289955,0.00180746480636,10.104524617,0.0146554618034,0.000273546086603,0.0,0.00286378966395,0.0195987464458,0.526681685053,0.0604111980691,0.0315166427495,0.0,412.8024468969132,414.58347105967636,414.32444652363756,414.58295871510927
0.4200000000000001,0.000567895939785,0.00334697952389,10.1422061052,0.0181578271628,0.00249593362262,0.0,0.00210090651963,0.0321269782317,0.728947992959,0.05632075378,0.0426124828759,0.0,469.5175741028616,470.29661655985115,470.9720541378599,470.5147564166683
0.48000000000000015,0.000634380649956,0.00565751838456,10.188678271,0.0214456141908,0.00448708265511,0.0,-0.00010372604637,0.0452213060584,0.819925881435,0.0532613331775,0.0236826398382,0.0,437.2970132137311,435.6214310837131,437.5056141889679,437.1168060584865
0.5400000000000001,0.000513380203318,0.00890668651621,10.2444606552,0.0253909285797,0.00570978977366,0.0,-0.00408137375377,0.0635144452353,1.03896075772,0.0783611020278,0.0170460987168,0.0,476.8807498617051,476.31820494552795,475.6963452700353,477.4766639440939
0.6000000000000002,0.000150410860491,0.0132401351162,10.3090056618,0.0305814210683,0.00723395086898,0.0,-0.00814955906412,0.0814218686192,1.11234940285,0.094722186126,0.0338304238207,0.0,431.83387499944706,433.2011381396642,432.40411553201636,433.5874359676191
0.6600000000000003,-0.000524229853215,0.0189025750195,10.3825836628,0.0372764522779,0.00887394235986,0.0,-0.0145478758921,0.108074303058,1.33961974962,0.128596206462,0.0207787873823,0.0,481.0901398688605,480.02046081046194,479.31508767332906,481.6462430637707
0.7200000000000003,-0.00159672637338,0.0262430329775,10.4674270993,0.0446918385107,0.00908818557343,0.0,-0.0212595023451,0.137411442346,1.48804628632,0.118547993268,-0.0137929263028,0.0,458.6151363357333,455.81295240994444,459.7140794006268,458.60631816368635
0.7800000000000004,-0.00306109113223,0.0354623617819,10.5602134742,0.0521206860218,0.00798888518444,0.0,-0.0274442852308,0.170647872884,1.60445730114,0.129127520307,-0.022891753254,0.0,449.86173554023463,449.1602938370521,448.5909758972396,449.1586037837036
0.8400000000000004,-0.00487806461832,0.0468879247911,10.6609427565,0.06054293244,0.00607057623193,0.0,-0.0329284156753,0.2110731886,1.75268009147,0.151713048379,-0.0411359008955,0.0,460.6020738383792,459.2163191175684,459.1247144917646,460.59706354426623
0.9000000000000005,-0.00697895602018,0.0609292811081,10.7705278484,0.0704641620542,0.00410191839143,0.0,-0.0368655512915,0.257991892772,1.89961183623,0.179113168099,-0.0244114558951,0.0,459.97288110277213,461.40246236646556,459.55024927982953,461.3481372330822
0.9600000000000005,-0.0092707166249,0.0778950111997,10.8873345602,0.081136330676,0.00325817231856,0.0,-0.0394186438223,0.308589151251,1.99354395823,0.176621297316,-0.00361890611888,0.0,445.14768285418484,446.913543800916,444.6111224241702,443.96538939342065
1.0200000000000005,-0.011695808817,0.0979925240636,11.0082878868,0.0921572492502,0.00217422517367,0.0,-0.0413426537893,0.362332494043,2.03798149159,0.190799939555,-0.0326435423011,0.0,431.0155883801481,428.5569765660774,429.80240979270326,430.57049264814106
1.0800000000000005,-0.0142164210967,0.121798441656,11.1347618133,0.10411362511,0.00033251918849,0.0,-0.0424732992404,0.432417596099,2.17718464439,0.207822939251,-0.0287298479806,0.0,460.11149965100054,460.50814706300304,460.8966035370417,461.77463035607803
1.1400000000000006,-0.0167641206115,0.150116584138,11.2699620248,0.116852056509,6.28123143142,0.0,-0.0422189498038,0.512840844144,2.3287528569,0.216838076784,-0.0475738489171,0.0,466.0742428979345,464.67126098463194,466.4875104510019,466.68022154043024
1.2000000000000006,-0.0192447399452,0.183365252232,11.4127353443,0.129590415934,6.27790025291,0.0,-0.0401433779626,0.596703672129,2.42977735444,0.207745191492,-0.0635407452383,0.0,452.9774487651494,451.8130480675921,451.87060767297976,450.59106198641706
1.2600000000000007,-0.0215129346623,0.222290071439,11.5644293558,0.14189312279,6.2749977149,0.0,-0.0350923975857,0.702108832046,2.62566228978,0.20233518988,-0.0330667167713,0.0,480.33389725235224,482.8176364117487,483.20029738485,482.2672586785186
